O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
16,SANJU DEVI,Pragatisheel Samaj Party,58,63,60,52,57,50,62,47,45,56,57,53,53,54,67,78,89,54,70,63,70,51,77,58,73,48,56,52,63,41,47,75,38,2,Uttar Pradesh-Pratappur,Pratappur
17,HARISHCHANDRA,Aam Aadmi Party,30,26,24,18,22,35,24,18,21,16,22,24,32,27,29,33,25,22,18,37,28,18,19,30,22,16,21,30,18,14,12,30,18,0,Uttar Pradesh-Pratappur,Pratappur
18,KRIPA SHANKAR YADAV,Independent,37,22,28,22,32,23,19,14,15,15,23,24,17,7,18,27,20,18,11,17,27,17,20,29,27,24,17,23,13,13,12,19,19,3,Uttar Pradesh-Pratappur,Pratappur
19,ZIAOUL HAQUE,Independent,11,13,7,17,17,20,12,5,8,15,11,20,13,12,7,19,12,12,13,10,16,10,16,14,12,9,18,16,4,11,12,14,7,0,Uttar Pradesh-Pratappur,Pratappur
20,DHARMENDRA KUMAR,Independent,4,4,7,7,5,9,3,2,6,12,3,7,2,4,5,2,4,5,6,3,4,5,5,5,5,6,4,4,6,2,5,1,3,0,Uttar Pradesh-Pratappur,Pratappur
21,FAZLUR RAHMAN,Independent,5,5,9,6,13,31,6,3,3,3,3,4,3,3,1,4,3,3,9,0,3,2,9,11,6,3,4,7,4,3,3,8,0,0,Uttar Pradesh-Pratappur,Pratappur
22,RAMESH CHANDRA,Independent,9,14,24,10,20,12,12,9,11,11,16,11,3,18,3,10,9,8,5,5,8,5,10,9,12,11,6,16,11,12,4,6,10,0,Uttar Pradesh-Pratappur,Pratappur
23,RAM KAILASH,Independent,27,4,11,12,12,8,10,5,4,5,6,8,7,4,4,10,2,4,9,2,7,4,4,7,3,3,4,8,7,5,6,6,13,0,Uttar Pradesh-Pratappur,Pratappur
24,VIKASH YADAV,Independent,19,15,18,11,14,19,15,14,18,14,16,11,17,9,11,20,9,12,21,17,19,9,24,26,21,13,12,17,19,12,9,12,18,1,Uttar Pradesh-Pratappur,Pratappur
25,HIRA MANI,Independent,11,11,10,9,10,11,11,11,4,9,8,22,14,8,5,10,10,15,8,8,9,7,16,20,7,8,3,15,7,8,4,10,10,0,Uttar Pradesh-Pratappur,Pratappur
26,NOTA,None of the Above,17,20,23,22,25,21,18,19,20,20,23,23,16,27,15,30,24,19,11,12,15,14,24,20,25,12,16,36,14,16,17,25,14,0,Uttar Pradesh-Pratappur,Pratappur
